"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"22",22,"1",23,"1","1","1","7","1",7000,"2","1","2","1","2","1",2500,"1","2","1",227,"3","1","1","5","3","3","3","5","1","1","1","1","1","5","1","6","1","1","AS","7","1","6","1","1","1","1","1","1","2","1","3","1","2","6","1","1","La Paz","33",1.66029585357411,"5"
"23",23,"1",30,"1","2","1","7","1",4200,"4","2","2","1","1","1",4000,"1","2","1",150,"3","1","7","5","5","5","5","6","5","7","5","7","5","5","1","8","2","1","NP","8","1","3","1","1","1","1","1","1","1","2","1","2","1","5","1","1","La Paz","33",1.66029585357411,"5"
"24",24,"1",65,"1","1","1","5","1",2800,"1","2","2","1","3","1",1500,"1","1","2",100,"4","1","3","2","3","4","1","3","3","1","1","1","3","3","1","7","2","1","AS","7","1","2","1","1","1","1","1","1","2","1","2","2","2","6","1","1","La Paz","33",1.66029585357411,"4"
"25",25,"1",19,"1","2","1","5","1",1500,"4","1","2","2","3","1",800,"1","1","1",20,"5","1","6","1","6","6","3","6","7","6","6","7","6","6","2","3","1","1","ES","3","1","2","2","1","1","1","2","2","2","1","1","2","2","3","1","1","La Paz","33",1.66029585357411,"3"
"26",26,"1",14,"1","1","1","4","1",2100,"2","2","2","2","3","1",1800,"1","1","1",100,"3","1","1","1","5","1","7","1","1","1","7","7","7","6","1","2","1","1","ES","7","1","3","1","1","1","1","1","1","2","2","3","2","2","7","1","1","La Paz","33",1.66029585357411,"4"
"27",27,"1",40,"1","1","2","2","1",3000,"1","2","2","1","3","1",2000,"1","1","2",200,"5","1","1","1","3","1","3","5","3","3","1","3","1","6","1","8","2","1","AS","7","1","4","1","1","1","1","1","1","2","1","2","2","2","6","1","1","La Paz","33",1.66029585357411,"4"
"28",28,"1",41,"1","2","2","9","1",1000,"4","1","2","1","3","1",880,"1","1","2",100,"5","1","6","6","6","6","6","6","7","7","5","7","6","6","2","6","2","1","AS","6","1","3","1","1","1","2","2","1","2","2","2","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"29",29,"1",33,"1","2","1","4","1",1500,"1","2","2","1","3","1",1500,"1","1","1",150,"4","1","1","1","1","1","1","6","6","6","1","1","1","2","2","4","2","1","AS","7","1","3","1","1","1","1","1","1","2","2","2","2","2","4","1","1","La Paz","33",1.66029585357411,"4"
"30",30,"1",21,"1","1","1","1","1",3800,"4","1","2","1","1","1",2000,"1","1","2",200,"4","1","1","1","1","1","1","7","1","3","5","7","7","5","2","3","1","1","ES","7","1","4","1","1","1","1","1","1","2","1","2","2","2","5","1","1","La Paz","33",1.66029585357411,"4"
"31",31,"1",57,"1","1","1","3","1",2100,"1","2","2","2","3","1",1569,"1","1","2",200,"4","1","1","1","5","1","7","1","1","3","7","7","7","2","1","5","2","1","NP","5","1","4","1","1","1","2","1","1","2","1","2","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
