"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"314",1876,"1",18,"1","2","1","7","1",3400,"2","2","2","1","1","1",1600,"1","2","3",150,"3","1","6","6","6","6","6","1","3","3","3","3","3","6","2","3","1","1","ES","7","1","2","1","1","1","2","2","2","2","1","2","1","2","3","8","3","Fátima","27",0.319169334911742,"3"
"315",1878,"1",29,"1","2","1","8","1",1400,"1","1","1","1","3","1",900,"1","1","1",150,"4","1","1","1","1","1","1","4","4","4","4","4","4","7","1","7","2","1","NP","7","2","2","1","1","1","2","2","2","2","2","1","2","2","5","8","3","Fátima","27",0.319169334911742,"2"
"316",1881,"1",37,"1","2","1","7","1",2900,"1","1","1","1","2","1",1900,"1","2","2",150,"4","2","5","5","5","5","5","6","3","3","3","3","3","6","1","7","2","1","PI","7","1","3","1","2","1","2","2","2","2","2","3","2","2","3","2","3","Papagayo","45",0.378045732280008,"3"
"317",1883,"1",20,"1","2","2","9","1",2400,"1","2","2","1","3","1",750,"1","1","1",10,"2","1","1","6","6","6","6","6","1","1","1","1","1","1","2","1","1","1","ES","1","5","3","1","1","1","2","2","2","2","1","1","1","2","2","2","3","Papagayo","45",0.378045732280008,"2"
"318",1886,"1",41,"1","2","1","1","1",2900,"1","1","1","1","3","1",2000,"1","1","1",30,"3","1","1","1","6","6","6","1","1","1","1","2","1","2","2","3","2","1","NP","3","1","2","1","2","1","2","2","2","2","1","1","2","2","4","2","3","Papagayo","45",0.378045732280008,"2"
"319",1894,"1",23,"1","2","1","3","1",2700,"1","2","2","1","2","1",500,"1","1","2",15,"4","1","1","5","5","6","2","5","1","2","1","3","3","2","2","6","1","3","ES","1","1","2","1","1","1","2","2","1","2","1","3","2","2","3","6","3","Taratuma","80",0.484091944766467,"2"
"320",1895,"1",41,"1","2","1","7","1",7400,"1","1","2","1","2","1",750,"1","1","3",400,"4","1","1","5","5","1","3","5","1","3","1","7","7","7","1","7","2","1","PI","7","1","3","1","1","1","2","2","1","2","1","3","1","2","2","6","3","Taratuma","80",0.484091944766467,"4"
"321",1896,"1",35,"1","2","2","9","1",550,"1","2","2","1","3","1",600,"1","1","2",40,"4","1","1","1","5","6","2","5","1","2","2","1","2","6","2","3","1","1","CP","1","2","1","2","2","1","2","2","2","2","1","1","2","2","5","6","3","Taratuma","80",0.484091944766467,"1"
"322",1897,"1",22,"1","2","2","9","1",600,"1","2","2","1","3","1",630,"1","1","2",10,"5","1","2","2","2","2","2","2","2","2","2","2","2","2","2","3","2","3","NP","3","2","1","1","2","1","2","2","2","2","1","1","2","2","5","6","3","Taratuma","80",0.484091944766467,"1"
"323",1902,"1",17,"1","2","1","3","1",1260,"1","1","2","1","1","1",700,"1","1","2",70,"5","1","1","1","1","1","1","4","1","1","1","1","1","1","1","2","2","1","AS","3","1","2","1","1","1","2","2","2","2","1","1","1","2","2","1","3","Villa Viluyo","90",1.87654571814034,"2"
"324",1903,"1",23,"1","2","2","9","1",1460,"1","1","2","2","3","1",1800,"1","3","2",50,"3","1","1","1","1","1","1","4","1","1","1","1","1","1","1","3","1","1","ES","1","2","1","1","2","1","2","2","2","2","1","1","1","2","5","1","3","Villa Viluyo","90",1.87654571814034,"1"
"325",2012,"1",33,"1","2","1","7","1",2100,"1","1","1","1","3","1",1570,"1","1","3",150,"3","1","1","5","5","6","7","6","1","7","7","4","7","5","1","3","2","1","NP","3","1","3","1","1","1","1","1","1","1","1","1","2","2","3","1","1","La Paz","33",1.66029585357411,"4"
"326",2014,"1",80,"1","2","1","7","1",3350,"1","1","2","1","3","1",1650,"1","1","1",80,"3","1","4","4","5","5","3","6","4","4","7","7","4","4","1","2","1","1","EM","3","1","2","1","1","1","1","2","1","1","2","1","2","2","2","1","1","La Paz","33",1.66029585357411,"3"
"327",2021,"1",23,"1","2","2","8","1",2500,"2","2","2","1","3","1",900,"1","2","1",90,"3","1","1","5","5","1","1","1","6","3","1","2","1","1","1","3","1","1","ES","1","1","1","2","2","1","2","2","2","2","2","1","2","2","3","1","1","La Paz","33",1.66029585357411,"1"
"328",2024,"1",14,"1","1","2","9","1",2000,"4","1","2","1","3","1",800,"1","1","2",30,"3","1","1","1","1","7","7","1","3","2","1","3","3","1","2","2","1","1","ES","3","1","2","1","1","1","2","1","2","2","1","4","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"329",2025,"1",45,"1","1","1","9","1",3000,"3","1","2","1","2","1",2500,"1","1","2",100,"4","1","1","1","1","5","5","6","1","2","1","7","1","2","2","8","1","1","PI","3","1","2","1","1","1","1","2","2","1","1","2","2","2","9","1","1","La Paz","33",1.66029585357411,"3"
"330",2028,"1",30,"1","1","1","7","1",7500,"3","1","2","1","2","1",1800,"8","1","1",100,"4","1","7","2","1","1","1","5","5","1","6","6","6","6","1","7","2","1","PI","1","2","3","1","1","1","1","1","2","1","2","2","2","2","7","1","1","La Paz","33",1.66029585357411,"3"
"331",2052,"1",25,"1","2","1","1","1",3500,"4","1","2","1","3","1",750,"1","1","1",50,"5","1","1","1","2","1","1","5","6","1","1","2","1","2","1","3","2","1","CP","3","1","2","1","1","1","1","2","1","2","2","2","1","2","8","1","1","La Paz","33",1.66029585357411,"3"
"332",2054,"1",27,"1","1","1","8","1",1500,"4","1","2","1","3","1",550,"1","1","1",30,"4","1","1","1","1","1","1","1","1","1","1","5","1","5","2","3","1","1","ES","3","1","2","1","1","1","1","1","1","2","1","1","2","2","5","1","1","La Paz","33",1.66029585357411,"3"
"333",2055,"1",30,"1","1","1","8","1",1300,"1","2","2","1","3","1",1600,"1","1","1",50,"4","1","1","2","3","1","1","1","1","1","1","1","1","1","2","3","2","1","NP","3","1","1","1","1","1","2","2","1","2","2","3","2","2","6","1","1","La Paz","33",1.66029585357411,"3"
"334",2058,"1",37,"1","1","1","7","1",2100,"1","2","2","1","3","1",250,"1","1","3",100,"3","1","2","2","2","1","2","5","3","1","2","1","1","1","1","3","2","1","AS","3","2","1","1","1","1","2","2","2","2","2","1","2","2","5","1","1","La Paz","33",1.66029585357411,"2"
"335",2061,"1",50,"1","1","1","9","1",4200,"1","1","2","1","1","1",1000,"1","1","1",50,"3","1","5","5","5","1","5","5","1","1","1","7","1","5","2","4","2","1","CP","4","1","3","1","1","1","1","1","1","1","1","2","1","2","8","1","1","La Paz","33",1.66029585357411,"4"
"336",2064,"1",34,"1","2","1","1","1",3000,"1","2","2","1","3","1",1000,"1","1","1",40,"5","1","1","1","6","1","6","6","6","3","1","1","1","6","2","4","2","1","PI","4","1","3","1","1","1","1","1","1","1","2","1","2","2","5","1","1","La Paz","33",1.66029585357411,"4"
"337",2067,"1",21,"1","1","1","1","1",1200,"1","1","2","1","3","1",700,"1","1","2",40,"5","1","1","1","1","1","1","1","3","3","3","3","3","1","1","6","1","1","ES","3","1","2","1","1","1","1","2","1","2","2","2","1","2","6","1","1","La Paz","33",1.66029585357411,"3"
"338",2074,"1",35,"1","1","2","9","1",7000,"1","2","2","1","3","1",1000,"1","2","1",70,"4","1","1","3","1","1","1","2","7","3","1","1","1","2","1","7","2","1","CP","7","1","3","1","1","1","1","1","1","1","1","1","2","1","4","1","1","La Paz","33",1.66029585357411,"5"
"339",2077,"1",30,"1","2","2","1","1",1400,"1","2","2","1","3","1",520,"1","1","2",30,"4","1","1","1","5","1","3","6","3","1","1","4","4","4","2","4","1","1","CP","3","1","2","1","1","1","1","2","1","2","1","1","2","2","6","1","1","La Paz","33",1.66029585357411,"3"
"340",2079,"1",50,"1","1","1","7","1",5000,"4","2","1","1","1","1",700,"1","1","2",50,"3","1","1","1","1","1","1","4","1","1","3","1","3","2","1","7","2","1","NP","7","1","5","1","1","1","1","1","1","1","1","2","2","1","4","1","1","La Paz","33",1.66029585357411,"5"
"341",2081,"1",45,"1","1","1","3","1",1500,"1","2","2","1","1","1",500,"1","1","2",50,"4","4","1","1","5","1","3","1","5","1","1","5","5","7","2","5","1","1","AS","6","5","3","1","1","1","1","1","1","1","2","2","2","2","3","1","1","La Paz","33",1.66029585357411,"4"
"342",2084,"1",25,"1","1","1","7","1",7000,"1","1","2","1","1","1",2000,"8","1","1",15,"2","1","3","4","4","6","6","4","4","4","4","4","4","6","2","7","1","1","PI","8","1","4","1","1","1","1","1","1","1","1","2","2","2","5","1","1","La Paz","33",1.66029585357411,"4"
"343",2085,"1",29,"1","2","2","9","1",3500,"1","1","2","1","3","1",1200,"1","1","2",50,"4","1","1","8","8","1","2","2","1","2","1","3","1","3","2","4","2","1","NP","3","1","3","1","1","1","2","1","1","2","2","1","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
"344",2087,"1",30,"1","1","1","5","1",1700,"2","2","2","2","1","1",2300,"1","1","1",100,"5","1","1","1","1","1","4","1","1","1","1","1","1","1","1","6","1","1","AS","8","1","4","1","1","1","2","2","1","1","2","2","1","2","2","1","1","La Paz","33",1.66029585357411,"3"
"345",2091,"1",36,"1","1","1","7","1",1800,"1","1","2","1","1","1",200,"1","1","2",100,"4","1","1","1","1","1","1","1","2","2","2","1","1","1","2","2","2","1","CP","2","2","1","1","1","1","1","2","1","2","2","1","2","2","7","1","1","La Paz","33",1.66029585357411,"3"
"346",2094,"1",38,"1","2","1","5","1",1850,"1","2","2","2","3","1",2100,"1","1","1",120,"5","1","5","6","5","1","3","6","6","6","5","6","5","6","1","6","2","1","AS","6","1","3","1","1","1","1","1","1","2","1","1","2","2","4","1","1","La Paz","33",1.66029585357411,"4"
"347",2095,"1",24,"1","1","1","8","1",5000,"1","1","2","1","2","1",1800,"1","1","3",40,"5","1","4","4","4","6","3","6","5","5","4","4","4","6","1","4","1","1","ES","5","1","4","1","1","1","1","1","1","2","1","1","1","2","4","1","1","La Paz","33",1.66029585357411,"4"
"348",2111,"1",36,"1","2","1","3","1",4500,"1","2","2","1","2","1",1800,"1","1","1",70,"5","1","1","1","1","1","5","5","7","1","1","1","1","2","1","7","2","1","PI","7","2","6","1","1","1","2","2","1","2","2","2","1","2","4","1","1","El Alto","24",1.66029585357411,"4"
"349",2115,"1",18,"1","1","1","2","1",1800,"1","2","2","1","1","1",1700,"1","1","3",45,"4","1","5","5","5","5","1","1","1","3","3","7","7","5","1","3","1","1","ES","3","1","6","1","1","1","1","1","1","1","1","2","1","2","6","1","1","El Alto","24",1.66029585357411,"5"
"350",2126,"1",26,"1","2","1","7","1",4000,"4","1","2","1","1","1",2000,"6","1","1",150,"4","1","6","6","5","5","5","5","1","3","7","7","7","6","1","6","1","1","SB","1","1","2","1","1","1","2","2","2","2","1","1","2","2","7","1","1","El Alto","24",1.66029585357411,"1"
"351",2131,"1",23,"1","1","1","7","1",6000,"1","2","2","1","2","1",1200,"6","1","3",5,"3","1","1","1","1","1","1","7","7","7","7","7","7","7","1","6","1","1","ES","7","1","3","1","1","1","2","1","1","2","1","1","1","2","8","1","1","El Alto","24",1.66029585357411,"4"
"352",2134,"1",32,"1","2","1","3","1",10500,"1","2","1","1","2","1",2000,"6","1","1",150,"3","1","2","2","1","1","5","2","1","1","1","6","1","1","1","8","2","1","PI","8","1","1","1","1","1","2","2","1","2","1","2","2","2","7","1","1","El Alto","24",1.66029585357411,"3"
"353",2135,"1",47,"1","1","1","3","1",3800,"1","1","2","1","1","1",1000,"1","1","1",30,"4","1","1","1","1","1","2","1","1","1","1","6","1","2","1","7","2","1","PI","7","1","3","1","1","1","2","1","1","1","1","2","2","2","5","1","1","El Alto","24",1.66029585357411,"3"
"354",2138,"1",40,"1","2","1","2","1",1500,"1","2","2","1","1","1",150,"1","1","2",150,"4","1","1","5","5","5","5","1","1","5","5","1","5","5","2","7","2","1","AS","3","1","1","1","1","1","2","2","1","2","2","1","2","2","3","1","1","El Alto","24",1.66029585357411,"2"
"355",2140,"1",25,"1","2","1","8","1",6000,"1","2","1","1","3","1",1800,"1","1","1",10,"5","1","1","1","5","6","6","1","1","1","1","7","1","2","2","7","1","1","ES","3","4","2","1","1","1","2","1","1","2","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"3"
"356",2141,"1",23,"1","2","1","1","1",1500,"1","2","2","1","3","1",500,"1","2","3",100,"2","1","1","6","5","6","6","1","6","1","1","3","6","6","1","6","1","1","CP","6","1","6","1","1","1","2","2","1","1","1","2","2","1","9","1","1","El Alto","24",1.66029585357411,"4"
"357",2143,"1",20,"1","2","2","8","1",2200,"2","1","2","1","3","1",1400,"1","1","3",10,"3","1","1","1","5","1","3","2","2","1","1","1","2","2","1","3","1","1","ES","3","1","2","1","1","1","2","2","1","1","1","1","2","2","7","1","1","El Alto","24",1.66029585357411,"2"
"358",2144,"1",38,"1","2","1","7","1",3500,"1","2","2","1","1","1",1300,"1","1","1",60,"4","1","1","1","5","2","2","4","2","2","1","2","3","2","2","4","2","1","PI","7","1","2","1","1","1","2","2","1","1","2","1","2","2","4","1","1","El Alto","24",1.66029585357411,"3"
"359",2145,"1",30,"1","2","2","9","1",2300,"3","2","2","1","3","1",950,"1","1","3",60,"3","1","1","6","4","1","3","6","1","1","2","1","1","2","1","4","2","1","CP","4","1","2","1","1","1","1","1","1","2","2","1","2","2","4","1","1","El Alto","24",1.66029585357411,"3"
"360",2147,"1",40,"1","2","1","7","1",800,"2","2","2","1","3","1",250,"1","2","3",150,"3","1","5","5","5","5","5","5","6","6","6","6","6","6","1","7","2","1","CP","7","1","6","1","1","1","1","1","1","1","1","2","2","1","4","1","1","El Alto","24",1.66029585357411,"5"
"361",2153,"1",34,"1","2","2","9","1",1200,"1","2","2","1","3","1",1100,"1","1","2",100,"3","1","1","1","1","1","1","1","1","7","7","7","7","7","2","3","2","1","AC","3","2","1","1","1","1","2","2","1","2","2","1","2","2","3","1","1","La Paz","33",1.66029585357411,"2"
"362",2157,"1",26,"1","1","1","5","1",2800,"2","1","1","1","1","1",800,"1","1","2",100,"3","1","1","1","5","6","1","6","1","1","1","1","5","6","1","7","2","1","SB","7","4","2","1","1","1","1","2","2","1","2","1","2","2","3","1","1","El Alto","24",1.66029585357411,"3"
"363",2161,"1",36,"1","1","1","7","1",1800,"1","1","2","1","2","1",1300,"1","1","1",100,"2","1","6","5","5","1","6","5","7","1","1","5","5","5","2","3","3","1","AS","3","1","2","1","1","1","1","2","1","2","2","2","2","2","4","1","1","El Alto","24",1.66029585357411,"3"
"364",2162,"1",27,"1","1","1","2","1",1200,"1","2","2","1","2","1",1200,"1","1","1",50,"5","1","1","3","5","1","5","5","1","1","5","1","1","6","2","7","1","1","PI","2","1","1","1","1","1","1","2","1","2","1","1","2","2","5","1","1","El Alto","24",1.66029585357411,"3"
"365",2165,"1",35,"1","1","1","7","1",3200,"1","2","2","1","1","1",1800,"1","2","3",80,"3","1","1","6","6","1","6","6","1","1","1","1","1","7","2","6","2","1","PI","6","1","4","1","1","1","1","2","1","2","2","1","1","2","4","1","1","El Alto","24",1.66029585357411,"4"
"366",2168,"1",45,"1","1","1","3","1",2550,"1","2","2","1","2","1",1400,"1","1","2",50,"1","1","2","1","1","1","5","2","2","3","3","2","3","7","1","6","2","1","PI","7","2","5","1","1","1","1","1","1","1","1","2","2","1","5","1","1","El Alto","24",1.66029585357411,"5"
"367",2174,"1",58,"1","1","1","3","1",3000,"1","1","2","1","2","1",900,"1","1","1",30,"4","1","1","1","1","1","6","1","1","1","1","1","1","2","1","7","2","1","CP","7","1","2","1","1","1","2","2","1","1","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"3"
"368",2178,"1",42,"1","2","1","1","1",3500,"1","1","2","1","2","1",1500,"1","1","2",50,"3","1","6","6","6","5","1","5","5","5","5","5","5","2","1","7","2","1","PI","7","1","3","1","1","1","2","1","1","1","1","2","2","2","4","1","1","El Alto","24",1.66029585357411,"3"
"369",2179,"1",43,"1","2","1","3","1",3000,"1","2","2","1","3","1",3000,"1","1","1",16,"2","1","1","5","5","5","5","1","1","1","1","5","5","7","1","7","2","1","PI","7","1","3","1","1","1","1","2","1","2","2","2","2","2","3","1","1","El Alto","24",1.66029585357411,"4"
"370",2180,"1",20,"1","1","1","3","1",5000,"1","2","1","1","2","1",1600,"1","1","3",80,"4","1","1","6","5","1","5","5","2","2","5","2","5","7","1","6","1","1","ES","4","1","5","1","1","1","1","1","1","1","1","5","2","2","4","1","1","El Alto","24",1.66029585357411,"5"
"371",2182,"1",19,"1","1","1","3","1",10000,"4","1","2","1","3","1",900,"1","1","2",50,"5","1","1","1","5","1","3","1","1","3","3","3","1","2","2","6","1","1","CP","2","1","4","1","1","1","2","1","1","2","1","9","2","1","5","1","1","El Alto","24",1.66029585357411,"5"
"372",2183,"1",47,"1","2","1","3","1",2000,"1","2","2","1","3","1",900,"1","1","1",30,"4","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","2","1","CP","3","1","3","1","1","1","2","2","1","2","1","1","2","2","5","1","1","El Alto","24",1.66029585357411,"3"
"373",2189,"1",29,"1","1","1","2","1",1800,"1","2","2","1","2","1",150,"1","1","2",50,"5","4","2","2","5","1","3","2","2","2","2","2","2","2","1","4","1","1","CP","3","1","2","1","1","1","2","2","1","2","1","1","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
"374",2192,"1",28,"1","2","1","9","1",3500,"1","2","2","1","3","1",1500,"1","1","2",150,"4","1","1","1","2","1","2","3","2","2","1","1","1","1","2","3","1","1","CP","3","1","3","1","1","1","2","2","1","2","2","2","2","2","4","1","1","La Paz","33",1.66029585357411,"3"
"375",3502,"1",26,"1","2","2","9","1",2800,"1","2","2","1","3","1",800,"1","1","1",30,"4","1","1","1","1","1","6","6","1","1","1","2","1","1","2","1","1","2","AS","1","1","4","1","2","1","2","2","2","2","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"1"
"376",3511,"1",53,"1","2","2","9","1",2000,"1","1","2","1","3","1",1450,"1","1","2",50,"4","1","6","1","1","1","3","6","7","3","3","2","6","6","2","6","2","1","AC","4","1","3","1","1","1","1","1","1","2","1","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"377",3515,"1",48,"1","2","1","9","1",1900,"1","2","2","1","2","1",1800,"1","1","1",80,"4","1","6","1","1","1","1","6","3","3","3","3","6","1","2","6","3","1","AS","6","1","1","1","1","1","2","2","1","2","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"2"
"378",3516,"1",32,"1","2","2","9","1",2100,"1","1","2","1","3","1",2100,"1","1","2",150,"4","1","5","1","6","1","3","6","3","3","3","1","3","6","1","4","3","1","NP","4","1","3","1","1","1","1","2","2","2","1","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"3"
"379",3517,"1",27,"1","2","2","9","1",1800,"1","2","2","1","3","1",1500,"1","1","1",70,"4","1","1","6","1","1","3","6","3","3","3","1","3","6","2","7","2","1","AS","3","2","4","1","1","1","1","1","2","2","1","1","2","2","7","4","1","Santa Cruz","70",1.61421206239234,"3"
"380",3518,"1",21,"1","1","1","4","1",1900,"1","2","2","1","1","1",2100,"1","1","1",80,"4","1","6","1","1","6","3","6","3","3","3","3","3","6","1","6","1","1","AS","4","1","3","1","1","1","2","2","2","2","1","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"2"
"381",3520,"1",19,"1","2","2","9","1",1500,"1","1","2","1","3","1",1800,"1","1","1",100,"4","1","6","1","6","1","6","6","3","3","3","3","3","6","1","6","1","1","ES","3","1","3","1","1","1","1","2","2","2","1","1","1","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"382",3523,"1",40,"1","2","2","9","1",1200,"1","1","2","1","3","1",850,"1","1","2",30,"4","1","1","1","1","1","1","6","3","3","3","2","1","1","2","3","3","1","AS","6","1","3","1","1","1","1","1","2","2","1","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"383",3525,"1",27,"1","2","1","4","1",2100,"1","2","2","2","2","1",1450,"1","1","1",50,"4","1","6","1","6","6","3","6","7","3","3","3","3","6","2","6","2","1","SB","4","1","2","1","1","1","2","2","2","2","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"2"
"384",3526,"1",48,"1","2","2","9","1",1800,"1","2","2","1","3","1",950,"1","1","3",20,"4","1","6","6","6","6","3","6","3","3","3","2","1","1","2","4","3","1","NP","4","1","3","1","1","1","1","2","2","2","1","1","1","2","4","4","1","Santa Cruz","70",1.61421206239234,"3"
"385",3531,"1",50,"1","2","1","5","1",1800,"1","1","2","2","2","1",2100,"1","1","2",50,"4","1","6","6","6","6","6","6","1","3","3","3","1","6","1","4","2","1","NP","4","1","3","1","1","1","1","1","2","2","1","1","2","2","7","4","1","Santa Cruz","70",1.61421206239234,"3"
"386",3532,"1",42,"1","2","1","3","1",1500,"1","2","2","2","2","1",2400,"1","1","3",180,"4","2","1","6","6","6","3","6","7","3","3","1","1","6","1","3","2","1","AS","4","1","3","1","1","1","1","1","2","2","1","1","1","2","7","4","1","Santa Cruz","70",1.61421206239234,"4"
"387",3542,"1",47,"1","2","2","9","1",1200,"4","2","2","1","3","1",1280,"1","1","2",100,"4","1","1","1","1","1","1","1","3","2","5","6","7","2","1","3","1","1","CP","3","1","1","1","1","1","2","2","2","2","1","2","2","2","3","4","1","Santa Cruz","70",1.61421206239234,"2"
"388",3543,"1",29,"1","2","2","9","1",900,"1","2","2","1","3","1",1000,"1","1","1",50,"2","1","6","6","6","6","3","6","1","7","1","1","1","6","1","3","2","3","CP","3","1","2","1","2","1","2","2","2","2","2","1","2","2","8","4","1","Santa Cruz","70",1.61421206239234,"1"
"389",3544,"1",38,"1","2","1","9","1",3500,"4","2","1","2","3","1",1700,"1","2","1",150,"2","1","1","1","1","6","6","6","1","1","1","3","3","6","1","3","2","1","AC","3","1","4","1","2","1","1","1","1","2","2","1","1","1","5","4","1","Santa Cruz","70",1.61421206239234,"5"
"390",3546,"1",15,"1","2","2","9","1",700,"3","2","2","2","3","1",700,"6","1","2",10,"4","1","1","1","6","6","3","6","1","3","1","1","6","6","2","2","1","1","ES","3","1","1","1","2","1","1","1","2","2","2","1","2","2","6","4","1","Santa Cruz","70",1.61421206239234,"3"
"391",3548,"1",43,"1","2","1","7","1",6000,"1","2","2","1","3","1",900,"1","1","3",10,"5","1","6","6","1","1","3","6","3","3","3","3","1","1","2","3","2","1","AS","3","1","2","1","1","1","1","2","2","1","2","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"392",3550,"1",32,"1","2","1","9","1",1600,"1","1","2","1","2","1",3000,"1","2","2",170,"4","1","1","5","5","1","3","6","3","3","3","3","3","1","1","6","1","1","NP","1","1","3","1","1","1","1","1","2","1","1","2","2","2","6","4","1","Santa Cruz","70",1.61421206239234,"3"
"393",3551,"1",29,"1","2","2","9","1",1200,"1","1","2","1","3","1",750,"1","1","3",100,"4","1","1","1","6","1","6","6","1","3","3","1","1","6","2","3","1","1","AC","3","1","3","1","2","1","1","2","1","1","1","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"394",3556,"1",36,"1","2","2","9","1",1600,"1","1","2","1","3","1",1300,"1","2","1",100,"3","1","1","1","1","1","6","1","1","1","1","1","1","6","2","4","2","1","NP","4","1","2","1","2","1","1","1","2","2","1","3","2","1","7","4","1","Santa Cruz","70",1.61421206239234,"4"
"395",3559,"1",45,"1","1","1","7","1",1400,"1","1","2","1","1","1",1700,"1","1","1",150,"4","1","1","1","5","1","1","1","3","3","1","1","1","6","1","7","2","1","PI","7","2","2","1","2","1","2","2","2","1","1","2","2","2","7","4","1","Santa Cruz","70",1.61421206239234,"2"
"396",3560,"1",49,"1","2","1","7","1",3500,"4","2","2","1","2","1",1500,"1","2","1",250,"4","1","1","1","5","1","6","6","6","7","1","1","1","6","2","2","2","1","CP","2","1","3","1","2","1","2","2","2","1","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"2"
"397",3562,"1",36,"1","2","2","9","1",2500,"1","2","2","1","3","1",2500,"1","1","1",150,"4","1","1","6","6","1","3","6","1","1","3","3","3","6","1","3","2","1","NP","3","1","2","1","1","1","1","1","2","2","1","2","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"398",3563,"1",18,"1","2","1","5","1",2500,"2","2","2","1","3","1",2700,"3","1","1",15,"5","1","6","6","6","1","3","6","6","3","1","1","1","6","1","3","1","1","ES","3","2","1","1","1","1","1","2","2","2","1","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"3"
"399",3565,"1",19,"1","2","1","6","1",3500,"1","2","2","1","2","1",2500,"1","1","1",20,"5","1","6","6","6","1","3","6","1","1","5","5","1","6","1","6","1","1","ES","3","2","1","1","1","1","2","2","2","2","1","2","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"2"
"400",3567,"1",29,"1","2","2","9","1",3000,"1","1","2","2","3","1",1800,"1","1","2",100,"4","1","6","6","6","6","6","6","3","3","3","1","2","1","1","4","1","1","CP","4","2","2","1","1","1","2","2","2","2","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"1"
"401",3569,"1",65,"1","2","2","9","1",1500,"1","2","2","1","3","1",600,"1","1","2",50,"4","1","1","1","1","1","1","6","7","3","1","2","3","6","1","4","2","1","RJ","4","4","1","1","1","1","1","1","2","2","1","1","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"402",3574,"1",48,"1","2","1","9","1",1200,"1","2","2","1","3","1",1200,"1","1","2",30,"4","1","1","1","6","1","3","6","3","3","3","3","3","6","2","3","2","1","AC","4","1","2","1","1","1","1","1","1","1","1","2","2","2","3","4","1","Santa Cruz","70",1.61421206239234,"3"
"403",3575,"1",50,"1","2","2","9","1",3000,"1","1","2","2","3","1",1300,"1","1","1",70,"4","1","1","1","1","1","3","1","3","1","1","3","1","6","2","6","3","1","NP","6","1","2","1","1","1","1","2","2","2","1","2","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"2"
"404",3577,"1",37,"1","1","1","9","1",500,"1","2","2","1","1","1",1800,"1","1","1",150,"3","1","1","6","1","1","1","1","3","3","3","3","3","6","2","4","2","2","CP","3","1","2","1","1","1","1","1","2","2","1","2","2","2","5","4","1","Santa Cruz","70",1.61421206239234,"3"
"405",3579,"1",25,"1","2","2","9","1",2100,"1","2","2","2","3","1",1750,"1","1","3",100,"4","1","1","6","3","1","5","1","1","3","3","3","6","6","1","3","1","1","AS","3","1","2","1","1","1","2","2","1","2","2","1","2","2","7","4","1","Santa Cruz","70",1.61421206239234,"2"
"406",3582,"1",30,"1","2","2","3","1",2000,"1","1","2","2","3","1",1500,"1","1","1",200,"3","1","1","1","1","2","3","6","3","3","3","1","1","6","1","6","1","1","AS","6","1","2","1","1","1","2","2","2","1","2","3","2","2","7","4","1","Santa Cruz","70",1.61421206239234,"2"
"407",3583,"1",48,"1","1","1","5","1",2500,"1","1","2","1","1","1",700,"1","1","1",150,"1","1","1","3","1","3","1","6","3","3","3","2","6","6","2","7","2","1","CP","7","1","1","1","1","1","1","1","1","1","1","4","1","2","7","4","1","Santa Cruz","70",1.61421206239234,"4"
"408",3585,"1",37,"1","2","2","9","1",1500,"1","2","2","2","3","1",2200,"1","1","1",150,"4","1","1","1","1","1","1","6","3","3","3","1","1","6","2","4","3","1","CP","4","1","2","1","1","1","2","2","2","2","2","1","2","2","4","4","1","Santa Cruz","70",1.61421206239234,"1"
